time_fs,P_0,P_1,P_2,P_3,P_4,P_5,coherence_l1,classical_P_0,classical_P_1,classical_P_2,classical_P_3,classical_P_4,classical_P_5
54.2,0.7352889056782508,0.24212858560181963,0.0079664650494365,0.009048790491291264,0.005296045039378325,0.00027120813982443106,0.11836618552831112,0.7343756781654281,0.24179876778554313,0.006914771649005822,0.00967003856877056,0.007040629532229071,0.00020011429902293322
54.300000000000004,0.7349533017864512,0.24241328187084737,0.007990009611013899,0.009061537305015759,0.005309702469005261,0.00027216695766729557,0.11829423892056229,0.734033834631616,0.2420877267085751,0.006937001266974815,0.009684185676569246,0.007056413495152306,0.0002008382211123506
54.400000000000006,0.7346181040857381,0.2426975475018618,0.008013577124374184,0.009074278182999428,0.005323365803368945,0.00027312730165831607,0.1182223832144331,0.7336924106864987,0.24237624324073676,0.006959255724005181,0.009698326381325183,0.007072200577350458,0.00020156339008375166
54.5,0.7342833120298998,0.24298138308774192,0.00803716754739891,0.00908701314998296,0.005337035013978592,0.0002740891709985784,0.11815061827950582,0.7333514057587219,0.24266431799858015,0.006981534974940161,0.009712460706791328,0.0070879907553647835,0.00020228980560163477
54.6,0.7339489250734683,0.2432647892205574,0.008060780838028898,0.009099742230621079,0.00535071007243527,0.00027505256488982504,0.11807894398556368,0.7330108192777193,0.2429519515978052,0.007003838974687182,0.009726588676639848,0.007103784005817835,0.00020301746733051413
54.7,0.7336149426717182,0.2435477664915695,0.008084416954264142,0.009112465449482816,0.005364390950431619,0.0002760174825344543,0.11800736020259048,0.732670650673711,0.2432391446532609,0.007026167678217781,0.009740710314462431,0.007119580305413218,0.0002037463749349199
54.800000000000004,0.7332813642806658,0.24383031549123232,0.00810807585416374,0.009125182831051766,0.00537807761975158,0.00027698392313552035,0.11793586680077041,0.7323308993777008,0.24352589777894643,0.007048521040567524,0.009754825643770478,0.007135379630935338,0.00020447652807939842
54.900000000000006,0.732948189357068,0.24411243680919378,0.00813175749584581,0.009137894399726365,0.005391770052270123,0.0002779518858967324,0.11786446365048797,0.7319915648214785,0.24381221158801233,0.007070899016835902,0.00976893468799539,0.00715118195924915,0.00020520792642851268
55.0,0.732615417358421,0.24439413103429677,0.008155461837487403,0.009150600179820138,0.005405468219952967,0.0002789213700224542,0.11779315062232729,0.7316526464376164,0.2440980866927617,0.0070933015621862505,0.009783037470488783,0.0071669872672999145,0.00020594056964684293
55.1,0.7322830477429599,0.24467539875458028,0.008179188837324436,0.009163300195561976,0.005419172094856321,0.0002798923747177039,0.11772192758707246,0.7313141436594685,0.24438352370465127,0.00711572863184566,0.00979713401452276,0.0071827955321129375,0.0002066744573989869
55.2,0.7319510799696574,0.2449562405572805,0.008202938453651594,0.00917599447109639,0.005432881649126599,0.0002808648991881533,0.11765079441570665,0.7309760559211692,0.2446685232342929,0.0071381801811048915,0.009811224343290148,0.007198606730793349,0.00020740958934956015
55.300000000000004,0.7316195134982225,0.24523665702883182,0.008226710644822267,0.009188683030483775,0.005446596855000161,0.00028183894264012743,0.11757975097941224,0.7306383826576336,0.24495308589145418,0.007160656165318282,0.009825308479904716,0.007214420840525825,0.0002081459651631968
55.400000000000006,0.7312883477890999,0.24551664875486803,0.00825050536924846,0.00920136589770067,0.005460317684803034,0.0002828145042806041,0.11750879714957045,0.7303011233045559,0.24523721228506018,0.007183156539903659,0.009839386447401474,0.007230237838574368,0.0002088835845045493
55.5,0.7309575823034686,0.24579621632022342,0.008274322585400713,0.009214043096640019,0.00547404411095065,0.00028379158331721336,0.11743793279776116,0.7299642772984062,0.2455209030231943,0.007205681260342254,0.009853458268736863,0.007246057702282049,0.0002096224470382897
55.6,0.7306272165032416,0.2460753603089338,0.008298162251808029,0.00922671465111143,0.005487776105947578,0.00028477017895823744,0.11736715779576239,0.7296278440764334,0.24580415871309932,0.007228230282178617,0.009867523966789013,0.007261880409070767,0.00021036255242910917
55.7,0.730297249851064,0.24635408130423755,0.008322024327057784,0.009239380584841432,0.005501513642387251,0.0002857502904126096,0.1172964720155505,0.72929182307666,0.24608697996117895,0.007250803561020519,0.009881583564358002,0.007277705936440997,0.00021110390034171899
55.800000000000004,0.7299676818103128,0.24663237988857692,0.008345908769795657,0.009252040921473734,0.005515256692951706,0.0002867319168899141,0.11722587532929939,0.728956213737884,0.24636936737299872,0.007273401052538883,0.009895637084166081,0.007293534261971579,0.00021184649044085066
55.900000000000006,0.7296385118450952,0.24691025664359884,0.00836981553872554,0.009264695684569479,0.005529005230411317,0.00028771505760038574,0.11715536760938076,0.7286210154996766,0.24665132155328706,0.007296022712467671,0.009909684548857914,0.007309365363319426,0.00021259032239125618
56.0,0.7293097394202481,0.24718771215015617,0.008393744592609467,0.009277344897607502,0.005542759227624524,0.0002886997117549091,0.11708494872836339,0.7282862278023814,0.2469328431059369,0.00731866849660382,0.009923725981000813,0.00732519921821933,0.000213335395857709
56.1,0.7289813640013372,0.2474647469883088,0.008417695890267533,0.009289988583984589,0.005556518657537579,0.0002896858785650184,0.11701461855901317,0.7279518500871132,0.24721393263400593,0.007341338360807154,0.009937761403084994,0.007341035804483686,0.00021408171050500382
56.2,0.7286533850546554,0.24774136173732472,0.008441669390577809,0.009302626767015725,0.005570283493184276,0.0002906735572428968,0.11694437697429293,0.7276178817957567,0.2474945907397191,0.007364032261000273,0.00995179083752379,0.007356875100002281,0.00021482926599795723
